# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.8.0

ammo::python::b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000005
ammo::rifle::b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000003
arg2.b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000003
armor.b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000000
game::b7d366b4-3133-4e93-9135-095f3470b260, string, 80054475656C73
motd, string, 802B263653686F6F742D656D2D7570206475656C696E672067616D65202663266C434F4D494E4720534F4F4E21
rank::b7d366b4-3133-4e93-9135-095f3470b260, string, 800541646D696E
rank::b7d366b4-3133-4e93-9135-095f3470b260::isstaff, boolean, 01
rank::b7d366b4-3133-4e93-9135-095f3470b260::prefix, string, 800BC2A763C2A76C41646D696E
result, string, 80056475656C73
shootout::duels::kits::b7d366b4-3133-4e93-9135-095f3470b260, string, 8006706973746F6C
shootout::duels::players, long, 0000000000000000
shootout::kit::b7d366b4-3133-4e93-9135-095f3470b260, string, 80057269666C65
skywars::marblemayhem::maxplayers, long, 0000000000000008
skywars::marblemayhem::players, long, 0000000000000000
skywars::marblemayhem::status, string, 800757616974696E67
undo.b7d366b4-3133-4e93-9135-095f3470b260, string, 800D73656C6563742061206B697421
undol.b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000003

